GDP per Capita,Population Growth (%),Urban Population (%),Primary School Enrollment (%),Secondary School Enrollment (%),Tertiary School Enrollment (%),Mortality Rate Under-5 (per 1000),"Maternal Mortality Ratio (per 100,000)",Health Expenditure (% of GDP),Access to Electricity (%),Electricity from Renewable Sources (%),Renewable Energy Consumption (%),Year,Country
278.095415220662,2.26275505157058,24.113,87.3256225585938,34.688648223877,5.79786014556885,150.3,,,,,,1984,India
292.644647182024,2.25868924622921,23.879,85.4773101806641,33.3632316589355,5.49634981155396,154.5,,,,,,1983,India
275.266085855139,2.26080777945204,23.647,83.4153823852539,31.4259300231934,4.8894100189209,159.1,,,,,,1982,India
271.426149209154,2.27589299161564,23.417,82.5833969116211,29.9509792327881,5.19067001342773,163.9,,,,,,1981,India
267.395219989594,2.2612188534673,23.098,81.3297729492188,28.5113906860352,4.90618991851807,169.1,,,,,,1980,India
224.580999112198,2.22353406114706,22.736,80.0406723022461,,4.90409994125366,174.6,,,,,,1979,India
206.076787850271,2.21293517819365,22.379,80.2269134521484,26.3240795135498,4.94095993041992,180.1,,,,,,1978,India
186.419089544981,2.20841658709872,22.026,83.98291015625,25.9298706054688,4.81184005737305,185.7,,,,,,1977,India
161.136118369411,2.20905061418648,21.677,81.4225692749023,25.3391799926758,4.97687005996704,191.0,,,,,,1976,India
157.931045846552,2.23845727724451,21.332,81.9049530029297,25.1192302703857,,195.9,,,,,,1975,India
163.232761704578,2.25820438079867,20.991,81.2151489257812,,,200.4,,,,,,1974,India
143.460157121616,2.25117630687251,20.653,81.7357330322266,24.3854808807373,4.93243980407715,204.5,,,,,,1973,India
122.615038788811,2.22743096189467,20.321,78.4039077758789,23.9752101898193,,208.1,,,,,,1972,India
118.160528911908,2.21700817584549,19.991,77.4137878417969,23.6049194335938,4.75870990753174,211.4,,,,,,1971,India
111.968318177372,2.21018327712813,19.76,,,,214.5,,,,,,1970,India
107.182143141928,2.2031572336638,19.562,,,,217.3,,,,,,1969,India
99.5168361228774,2.16886163107629,19.366,,,,219.8,,,,,,1968,India
96.0463298450023,2.12876735867267,19.171,,,,222.3,,,,,,1967,India
89.2013484885067,2.15183776822664,18.977,,,,224.8,,,,,,1966,India
119.084976676524,2.23529958573103,18.785,,,,227.3,,,,,,1965,India
